id;avg_net_income;unemployment_count;unemployment_percentage;population;dateID;districtID;sexID
429;21462;1246;0.05676;29430;6;5;0
430;24269;800;0.07323;29430;6;5;1
431;18572;446;0.04045;29430;6;5;2
432;21804;911;0.04043;30054;6;6;0
433;25086;500;0.04583;30054;6;6;1
434;18703;411;0.03535;30054;6;6;2
435;22995;624;0.03538;23703;6;7;0
436;27092;370;0.04189;23703;6;7;1
437;19155;254;0.02885;23703;6;7;2
438;21702;1097;0.0379;39466;6;8;0
439;25390;653;0.0459;39466;6;8;1
440;18147;443;0.03015;39466;6;8;2
441;17891;8018;0.06852;171113;6;9;0
442;19717;4840;0.08291;171113;6;9;1
443;15777;3178;0.0542;171113;6;9;2
444;18387;4005;0.06652;85834;6;10;0
445;20534;2316;0.07744;85834;6;10;1
446;15932;1689;0.05574;85834;6;10;2
447;18312;4337;0.07308;85736;6;11;0
448;20190;2582;0.08763;85736;6;11;1
449;16209;1755;0.05873;85736;6;11;2
450;27141;1236;0.0391;51127;6;12;0
451;33790;681;0.04622;51127;6;12;1
452;20709;555;0.03288;51127;6;12;2
453;21424;3323;0.05813;83751;6;13;0
454;24470;1961;0.07037;83751;6;13;1
455;18306;1362;0.04649;83751;6;13;2
456;16157;3913;0.07693;70291;6;14;0
457;17383;2410;0.09313;70291;6;14;1
458;14754;1503;0.06016;70291;6;14;2
459;18027;4608;0.06967;94193;6;15;0
460;19657;2891;0.08733;94193;6;15;1
461;16213;1717;0.05198;94193;6;15;2
462;19463;2334;0.06347;52414;6;16;0
463;21954;1462;0.07976;52414;6;16;1
464;16748;872;0.04728;52414;6;16;2
465;23592;1594;0.04942;47478;6;17;0
466;28593;929;0.06046;47478;6;17;1
467;18763;666;0.03939;47478;6;17;2
468;25329;1690;0.03907;67961;6;18;0
469;31232;978;0.0481;67961;6;18;1
470;19349;712;0.03106;67961;6;18;2
471;17035;3777;0.06623;81648;6;19;0
472;18418;2367;0.08241;81648;6;19;1
473;15427;1410;0.04981;81648;6;19;2
474;19578;5568;0.05922;138678;6;20;0
475;22173;3297;0.07203;138678;6;20;1
476;16789;2271;0.04707;138678;6;20;2
477;21222;4422;0.04251;150967;6;21;0
478;24632;2424;0.04837;150967;6;21;1
479;17636;1998;0.03705;150967;6;21;2
480;22899;2846;0.04676;91192;6;22;0
481;27182;1577;0.05475;91192;6;22;1
482;18542;1269;0.03958;91192;6;22;2
483;32264;332;0.03001;16623;7;0;0
484;40505;179;0.03255;16623;7;0;1
485;23665;153;0.0275;16623;7;0;2
486;19023;4432;0.06734;93822;7;1;0
487;20700;2805;0.08323;93822;7;1;1
488;17125;1627;0.05067;93822;7;1;2
489;22075;3748;0.06437;82979;7;2;0
490;25329;2237;0.07863;82979;7;2;1
491;18795;1511;0.05075;82979;7;2;2
492;24303;963;0.04498;30348;7;3;0
493;28139;553;0.05298;30348;7;3;1
494;20444;410;0.03738;30348;7;3;2
495;18810;2556;0.06666;52288;7;4;0
496;20443;1607;0.08337;52288;7;4;1
497;17027;949;0.04977;52288;7;4;2
498;21954;1306;0.05997;29197;7;5;0
499;24614;843;0.07788;29197;7;5;1
500;19203;463;0.04228;29197;7;5;2
501;22700;1029;0.04575;29878;7;6;0
502;25665;575;0.05278;29878;7;6;1
503;19874;454;0.03915;29878;7;6;2
504;23676;677;0.03849;23639;7;7;0
505;27475;412;0.04674;23639;7;7;1
506;20037;265;0.0302;23639;7;7;2
507;22448;1157;0.04006;39167;7;8;0
508;25874;724;0.051;39167;7;8;1
509;19150;433;0.02947;39167;7;8;2
510;18342;8918;0.07566;173227;7;9;0
511;20036;5506;0.09372;173227;7;9;1
512;16398;3412;0.05771;173227;7;9;2
513;18877;4501;0.07332;87966;7;10;0
514;20837;2646;0.08694;87966;7;10;1
515;16631;1855;0.05994;87966;7;10;2
516;18857;4753;0.0794;86950;7;11;0
517;20607;2891;0.09733;86950;7;11;1
518;16917;1861;0.06173;86950;7;11;2
519;27988;1363;0.04338;50981;7;12;0
520;34561;775;0.0527;50981;7;12;1
521;21612;588;0.03518;50981;7;12;2
522;22079;3606;0.06328;83980;7;13;0
523;25113;2170;0.07824;83980;7;13;1
524;19000;1435;0.04909;83980;7;13;2
525;16680;4197;0.08214;70600;7;14;0
526;17880;2620;0.10103;70600;7;14;1
527;15327;1577;0.06266;70600;7;14;2
528;18615;4959;0.07456;94526;7;15;0
529;20112;3174;0.09555;94526;7;15;1
530;16947;1785;0.05361;94526;7;15;2
531;20297;2563;0.06977;52253;7;16;0
532;23015;1654;0.09048;52253;7;16;1
533;17410;909;0.04925;52253;7;16;2
534;23927;1698;0.05263;47619;7;17;0
535;28553;1014;0.06594;47619;7;17;1
536;19457;684;0.0405;47619;7;17;2
537;25828;1837;0.04293;67837;7;18;0
538;31525;1100;0.05434;67837;7;18;1
539;20106;737;0.03268;67837;7;18;2
540;17652;4215;0.0738;81986;7;19;0
541;19014;2629;0.09156;81986;7;19;1
542;16089;1586;0.05586;81986;7;19;2
543;20266;6022;0.06395;139498;7;20;0
544;22749;3652;0.0797;139498;7;20;1
545;17605;2370;0.04903;139498;7;20;2
546;21782;4999;0.04754;153148;7;21;0
547;25094;2856;0.05634;153148;7;21;1
548;18310;2143;0.03935;153148;7;21;2
549;23408;3223;0.05324;91623;7;22;0
550;27464;1808;0.06299;91623;7;22;1
551;19273;1415;0.04445;91623;7;22;2
552;33419;348;0.0321;16525;8;0;0
553;42167;188;0.03497;16525;8;0;1
554;24310;160;0.02928;16525;8;0;2
555;18998;4562;0.06887;94735;8;1;0
556;20655;2853;0.08462;94735;8;1;1
557;17136;1708;0.05254;94735;8;1;2
558;22166;3785;0.0646;83061;8;2;0
559;25291;2237;0.07823;83061;8;2;1
560;19009;1548;0.0516;83061;8;2;2
561;24069;995;0.04629;30331;8;3;0
562;28164;579;0.05534;30331;8;3;1
563;20038;416;0.03771;30331;8;3;2
564;18659;2579;0.06686;52354;8;4;0
565;20231;1580;0.08137;52354;8;4;1
566;16954;999;0.05216;52354;8;4;2
567;22083;1317;0.06041;29323;8;5;0
568;24979;843;0.07775;29323;8;5;1
569;19145;474;0.04326;29323;8;5;2
570;22694;1054;0.04671;30069;8;6;0
571;25755;572;0.05223;30069;8;6;1
572;19758;482;0.0415;30069;8;6;2
573;23247;686;0.03979;23435;8;7;0
574;26591;397;0.04626;23435;8;7;1
575;20061;288;0.03337;23435;8;7;2
576;22324;1184;0.04087;39344;8;8;0
577;25517;705;0.04946;39344;8;8;1
578;19225;480;0.03256;39344;8;8;2
579;18186;9204;0.07749;174749;8;9;0
580;19828;5606;0.09467;174749;8;9;1
581;16298;3599;0.06042;174749;8;9;2
582;18780;4594;0.07401;89461;8;10;0
583;20685;2638;0.08588;89461;8;10;1
